text,intent
fogging required urgently in karol bagh,CIVIC_GRIEVANCE
stagnant water pool near model town causing mosquito breeding,CIVIC_GRIEVANCE
నమస్తే,GREETING
dirty contaminated water coming from tap in sector 17,CIVIC_GRIEVANCE
our taps are dry since monday,CIVIC_GRIEVANCE
dark street near model town creating safety risk,CIVIC_GRIEVANCE
dark street near railway station road creating safety risk,CIVIC_GRIEVANCE
good morning bot,GREETING
sahi hai,CONFIRMATION
hey buddy,GREETING
aap kya karte ho,CAPABILITIES
aap kaise ho,CASUAL_CONVERSATION
hello,GREETING
i want to change the details,CORRECTION
options,CAPABILITIES
live electrical wire dangling dangerously near sector 17,CIVIC_GRIEVANCE
great thanks,THANKS
thank you,THANKS
water pipeline is leaking near railway station road,CIVIC_GRIEVANCE
awesome thanks,THANKS
edit details,CORRECTION
live electrical wire dangling dangerously near model town,CIVIC_GRIEVANCE
open manhole on road near model town,CIVIC_GRIEVANCE
எங்கள் பகுதியில் தண்ணீர் வரவில்லை,CIVIC_GRIEVANCE
नमस्ते,GREETING
tell me a joke,OUT_OF_SCOPE
kaise ho,CASUAL_CONVERSATION
huge deep potholes on the main road in model town,CIVIC_GRIEVANCE
hiii,GREETING
overflowing waste bin in civil lines,CIVIC_GRIEVANCE
what is this,CAPABILITIES
drainage gutter overflow flooding road in model town,CIVIC_GRIEVANCE
good evening,GREETING
power has been out in saket for 4 hours,CIVIC_GRIEVANCE
live electrical wire dangling dangerously near civil lines,CIVIC_GRIEVANCE
எங்கள் பகுதியில் தண்ணீர் வரவில்லை,CIVIC_GRIEVANCE
dark street near vasant kunj creating safety risk,CIVIC_GRIEVANCE
stagnant water pool near sector 17 causing mosquito breeding,CIVIC_GRIEVANCE
नमस्कार,GREETING
cricket score,OUT_OF_SCOPE
traffic signal lights not working at model town intersection,CIVIC_GRIEVANCE
there is some civic issue,NEEDS_CLARIFICATION
i'm good,CASUAL_CONVERSATION
ha,CONFIRMATION
रस्त्यावरील दिवा चालू नाही,CIVIC_GRIEVANCE
আমাদের এলাকায় জল আসছে না,CIVIC_GRIEVANCE
there is a problem,NEEDS_CLARIFICATION
that's right,CONFIRMATION
no don't,DENIAL
the road near railway station road is completely broken and damaged,CIVIC_GRIEVANCE
aap kya karte ho,CAPABILITIES
hi sir,GREETING
traffic signal lights not working at sector 17 intersection,CIVIC_GRIEVANCE
fogging required urgently in sector 17,CIVIC_GRIEVANCE
kachra 4 din se nahi uthaya gaya hai model town se,CIVIC_GRIEVANCE
street light band hai saket me,CIVIC_GRIEVANCE
i am good,CASUAL_CONVERSATION
what services do you offer,CAPABILITIES
रस्त्यावरील दिवा चालू नाही,CIVIC_GRIEVANCE
